dataset,threshold,k,frac_reads_unresolved,frac_reads_unknown_error,n_windows,frac_windows_fully_resolved,median_window_purity
070423_6D2S_qubit1,4 µs,0.5,0.32536008230452673,0.0,682,0.2653958944281525,0.0
070423_6D2S_qubit1,5 µs,0.5,0.08513374485596707,0.0,130,0.046153846153846156,0.0
070423_6D2S_qubit1,6 µs,0.5,0.025977366255144033,0.0,30,0.0,0.0
070423_6D2S_qubit1,7 µs,0.5,0.010545267489711935,0.0,11,0.0,0.0
070423_6D2S_qubit1,8 µs,0.5,0.004629629629629629,0.0,2,0.0,0.0
070423_6D2S_qubit1,9 µs,0.5,0.0033436213991769547,0.0,1,0.0,0.0
070423_6D2S_qubit1,10 µs,0.5,0.001286008230452675,0.0,0,,
070423_6D2S_qubit1,1 µs,1.0,0.000257201646090535,0.0,1,0.0,0.9997427983539094
070423_6D2S_qubit1,2 µs,1.0,0.00257201646090535,0.0,4,0.75,1.0
070423_6D2S_qubit1,3 µs,1.0,0.5097736625514403,0.0,356,0.1348314606741573,0.5
070423_6D2S_qubit1,4 µs,1.0,0.5493827160493827,0.0,682,0.004398826979472141,0.0
070423_6D2S_qubit1,5 µs,1.0,0.17078189300411523,0.0,130,0.0,0.0
070423_6D2S_qubit1,6 µs,1.0,0.05452674897119342,0.0,30,0.0,0.0
070423_6D2S_qubit1,7 µs,1.0,0.02263374485596708,0.0,11,0.0,0.0
070423_6D2S_qubit1,8 µs,1.0,0.012345679012345678,0.0,2,0.0,0.0
070423_6D2S_qubit1,9 µs,1.0,0.006687242798353909,0.0,1,0.0,0.0
070423_6D2S_qubit1,10 µs,1.0,0.004629629629629629,0.0,0,,
070423_6D2S_qubit1,1 µs,2.0,0.013117283950617283,0.0,1,0.0,0.9868827160493827
070423_6D2S_qubit1,2 µs,2.0,0.06790123456790123,0.0,4,0.0,0.9186408383613845
070423_6D2S_qubit1,3 µs,2.0,0.996141975308642,0.0,356,0.0,0.0
070423_6D2S_qubit1,4 µs,2.0,0.7875514403292181,0.0,682,0.0,0.0
070423_6D2S_qubit1,5 µs,2.0,0.3713991769547325,0.0,130,0.0,0.0
070423_6D2S_qubit1,6 µs,2.0,0.15097736625514405,0.0,30,0.0,0.0
070423_6D2S_qubit1,7 µs,2.0,0.06532921810699588,0.0,11,0.0,0.0
070423_6D2S_qubit1,8 µs,2.0,0.035493827160493825,0.0,2,0.0,0.0
070423_6D2S_qubit1,9 µs,2.0,0.020833333333333332,0.0,1,0.0,0.0
070423_6D2S_qubit1,10 µs,2.0,0.01440329218106996,0.0,0,,
070623_6D2S_qubit5,1 µs,0.5,0.025252525252525252,0.0,1,0.0,0.9747474747474747
070623_6D2S_qubit5,2 µs,0.5,0.031313131313131314,0.0,2,0.0,0.9616271935206774
070623_6D2S_qubit5,3 µs,0.5,0.1484848484848485,0.0,69,0.2753623188405797,0.8947368421052632
070623_6D2S_qubit5,4 µs,0.5,0.42323232323232324,0.0,226,0.29646017699115046,0.5
070623_6D2S_qubit5,5 µs,0.5,0.403030303030303,0.0,202,0.09405940594059406,0.0
070623_6D2S_qubit5,6 µs,0.5,0.2727272727272727,0.0,136,0.014705882352941176,0.0
070623_6D2S_qubit5,7 µs,0.5,0.1797979797979798,0.0,86,0.011627906976744186,0.0
070623_6D2S_qubit5,8 µs,0.5,0.13434343434343435,0.0,68,0.014705882352941176,0.0
070623_6D2S_qubit5,9 µs,0.5,0.10404040404040404,0.0,56,0.017857142857142856,0.0
070623_6D2S_qubit5,10 µs,0.5,0.08888888888888889,0.0,0,,
070623_6D2S_qubit5,1 µs,1.0,0.06666666666666667,0.0,1,0.0,0.9333333333333333
070623_6D2S_qubit5,2 µs,1.0,0.08686868686868687,0.0,2,0.0,0.9204401358039841
070623_6D2S_qubit5,3 µs,1.0,0.48282828282828283,0.0,69,0.07246376811594203,0.5128205128205128
070623_6D2S_qubit5,4 µs,1.0,0.7929292929292929,0.0,226,0.017699115044247787,0.0
070623_6D2S_qubit5,5 µs,1.0,0.5585858585858586,0.0,202,0.0049504950495049506,0.0
070623_6D2S_qubit5,6 µs,1.0,0.37777777777777777,0.0,136,0.007352941176470588,0.0
070623_6D2S_qubit5,7 µs,1.0,0.26666666666666666,0.0,86,0.011627906976744186,0.0
070623_6D2S_qubit5,8 µs,1.0,0.19292929292929292,0.0,68,0.014705882352941176,0.0
070623_6D2S_qubit5,9 µs,1.0,0.15555555555555556,0.0,56,0.0,0.0
070623_6D2S_qubit5,10 µs,1.0,0.12525252525252525,0.0,0,,
070623_6D2S_qubit5,1 µs,2.0,0.21414141414141413,0.0,1,0.0,0.7858585858585858
070623_6D2S_qubit5,2 µs,2.0,0.4898989898989899,0.0,2,0.0,0.5359103366466234
070623_6D2S_qubit5,3 µs,2.0,0.9808080808080808,0.0,69,0.0,0.0
070623_6D2S_qubit5,4 µs,2.0,0.895959595959596,0.0,226,0.0,0.0
070623_6D2S_qubit5,5 µs,2.0,0.7313131313131314,0.0,202,0.0049504950495049506,0.0
070623_6D2S_qubit5,6 µs,2.0,0.5414141414141415,0.0,136,0.007352941176470588,0.0
070623_6D2S_qubit5,7 µs,2.0,0.4111111111111111,0.0,86,0.0,0.0
070623_6D2S_qubit5,8 µs,2.0,0.32222222222222224,0.0,68,0.0,0.0
070623_6D2S_qubit5,9 µs,2.0,0.25656565656565655,0.0,56,0.0,0.0
070623_6D2S_qubit5,10 µs,2.0,0.20707070707070707,0.0,0,,
070623_6D2S_qubit6,1 µs,0.5,0.0595959595959596,0.0,1,0.0,0.9404040404040404
070623_6D2S_qubit6,2 µs,0.5,0.07474747474747474,0.0,1,0.0,0.9252525252525252
070623_6D2S_qubit6,3 µs,0.5,0.24545454545454545,0.0,102,0.28431372549019607,0.8038461538461539
070623_6D2S_qubit6,4 µs,0.5,0.4535353535353535,0.0,247,0.22672064777327935,0.5
070623_6D2S_qubit6,5 µs,0.5,0.47373737373737373,0.0,229,0.056768558951965066,0.0
070623_6D2S_qubit6,6 µs,0.5,0.35353535353535354,0.0,175,0.017142857142857144,0.0
070623_6D2S_qubit6,7 µs,0.5,0.25656565656565655,0.0,132,0.015151515151515152,0.0
070623_6D2S_qubit6,8 µs,0.5,0.21313131313131314,0.0,102,0.00980392156862745,0.0
070623_6D2S_qubit6,9 µs,0.5,0.1808080808080808,0.0,86,0.011627906976744186,0.0
070623_6D2S_qubit6,10 µs,0.5,0.15858585858585858,0.0,0,,
070623_6D2S_qubit6,1 µs,1.0,0.1383838383838384,0.0,1,0.0,0.8616161616161616
070623_6D2S_qubit6,2 µs,1.0,0.18585858585858586,0.0,1,0.0,0.8141414141414142
070623_6D2S_qubit6,3 µs,1.0,0.6595959595959596,0.0,102,0.058823529411764705,0.3333333333333333
070623_6D2S_qubit6,4 µs,1.0,0.7636363636363637,0.0,247,0.004048582995951417,0.0
070623_6D2S_qubit6,5 µs,1.0,0.6202020202020202,0.0,229,0.0,0.0
070623_6D2S_qubit6,6 µs,1.0,0.4676767676767677,0.0,175,0.0,0.0
070623_6D2S_qubit6,7 µs,1.0,0.3565656565656566,0.0,132,0.007575757575757576,0.0
070623_6D2S_qubit6,8 µs,1.0,0.2787878787878788,0.0,102,0.00980392156862745,0.0
070623_6D2S_qubit6,9 µs,1.0,0.2313131313131313,0.0,86,0.011627906976744186,0.0
070623_6D2S_qubit6,10 µs,1.0,0.21414141414141413,0.0,0,,
070623_6D2S_qubit6,1 µs,2.0,0.34949494949494947,0.0,1,0.0,0.6505050505050505
070623_6D2S_qubit6,2 µs,2.0,0.7282828282828283,0.0,1,0.0,0.2717171717171717
070623_6D2S_qubit6,3 µs,2.0,0.9747474747474747,0.0,102,0.0,0.0
070623_6D2S_qubit6,4 µs,2.0,0.8929292929292929,0.0,247,0.0,0.0
070623_6D2S_qubit6,5 µs,2.0,0.7404040404040404,0.0,229,0.0,0.0
070623_6D2S_qubit6,6 µs,2.0,0.6191919191919192,0.0,175,0.0,0.0
070623_6D2S_qubit6,7 µs,2.0,0.502020202020202,0.0,132,0.007575757575757576,0.0
070623_6D2S_qubit6,8 µs,2.0,0.41818181818181815,0.0,102,0.00980392156862745,0.0
070623_6D2S_qubit6,9 µs,2.0,0.35353535353535354,0.0,86,0.011627906976744186,0.0
070623_6D2S_qubit6,10 µs,2.0,0.295959595959596,0.0,0,,
070723_6D2S_qubit4,1 µs,0.5,0.3987863025574339,0.0,14,0.07142857142857142,0.6513008130081301
070723_6D2S_qubit4,2 µs,0.5,0.4872128305158214,0.0,208,0.07211538461538461,0.4
070723_6D2S_qubit4,3 µs,0.5,0.5973125270914608,0.0,418,0.05980861244019139,0.0
070723_6D2S_qubit4,4 µs,0.5,0.6133506718682271,0.0,529,0.020793950850661626,0.0
070723_6D2S_qubit4,5 µs,0.5,0.5769397485912441,0.0,555,0.007207207207207207,0.0
070723_6D2S_qubit4,6 µs,0.5,0.5309926311226701,0.0,553,0.007233273056057866,0.0
070723_6D2S_qubit4,7 µs,0.5,0.4976159514521023,0.0,547,0.005484460694698354,0.0
070723_6D2S_qubit4,8 µs,0.5,0.4750758560901604,0.0,548,0.0036496350364963502,0.0
070723_6D2S_qubit4,9 µs,0.5,0.4577373211963589,0.0,542,0.0036900369003690036,0.0
070723_6D2S_qubit4,10 µs,0.5,0.44733420026007803,0.0,1,0.0,0.0
070723_6D2S_qubit4,1 µs,1.0,0.4798439531859558,0.0,14,0.07142857142857142,0.5448585231193928
070723_6D2S_qubit4,2 µs,1.0,0.7013437364542696,0.0,208,0.019230769230769232,0.0
070723_6D2S_qubit4,3 µs,1.0,0.7798006068487213,0.0,418,0.004784688995215311,0.0
070723_6D2S_qubit4,4 µs,1.0,0.7069787602947551,0.0,529,0.001890359168241966,0.0
070723_6D2S_qubit4,5 µs,1.0,0.6267880364109233,0.0,555,0.0018018018018018018,0.0
070723_6D2S_qubit4,6 µs,1.0,0.577373211963589,0.0,553,0.003616636528028933,0.0
070723_6D2S_qubit4,7 µs,1.0,0.541829215431296,0.0,547,0.0018281535648994515,0.0
070723_6D2S_qubit4,8 µs,1.0,0.5192891200693541,0.0,548,0.0018248175182481751,0.0
070723_6D2S_qubit4,9 µs,1.0,0.49588209796272215,0.0,542,0.0,0.0
070723_6D2S_qubit4,10 µs,1.0,0.4872128305158214,0.0,1,0.0,0.0
070723_6D2S_qubit4,1 µs,2.0,0.6801040312093628,0.0,14,0.0,0.2523291925465838
070723_6D2S_qubit4,2 µs,2.0,0.9167750325097529,0.0,208,0.0,0.0
070723_6D2S_qubit4,3 µs,2.0,0.8638925010836584,0.0,418,0.0,0.0
070723_6D2S_qubit4,4 µs,2.0,0.7706978760294755,0.0,529,0.0,0.0
070723_6D2S_qubit4,5 µs,2.0,0.6965756393584742,0.0,555,0.0,0.0
070723_6D2S_qubit4,6 µs,2.0,0.6415257910706545,0.0,553,0.0018083182640144665,0.0
070723_6D2S_qubit4,7 µs,2.0,0.6068487212830516,0.0,547,0.0018281535648994515,0.0
070723_6D2S_qubit4,8 µs,2.0,0.5752058951018639,0.0,548,0.0,0.0
070723_6D2S_qubit4,9 µs,2.0,0.5539661898569571,0.0,542,0.0,0.0
070723_6D2S_qubit4,10 µs,2.0,0.5348938014737755,0.0,1,0.0,0.0
070723_6D2S_qubit5,1 µs,0.5,0.28758949880668255,0.0,14,0.07142857142857142,0.6433344287435645
070723_6D2S_qubit5,2 µs,0.5,0.36933174224343673,0.0,274,0.19708029197080293,0.5555555555555556
070723_6D2S_qubit5,3 µs,0.5,0.5220763723150358,0.0,408,0.12009803921568628,0.0
070723_6D2S_qubit5,4 µs,0.5,0.49403341288782815,0.0,427,0.0234192037470726,0.0
070723_6D2S_qubit5,5 µs,0.5,0.4194510739856802,0.0,399,0.020050125313283207,0.0
070723_6D2S_qubit5,6 µs,0.5,0.3854415274463007,0.0,372,0.021505376344086023,0.0
070723_6D2S_qubit5,7 µs,0.5,0.3568019093078759,0.0,351,0.017094017094017096,0.0
070723_6D2S_qubit5,8 µs,0.5,0.33591885441527447,0.0,341,0.011730205278592375,0.0
070723_6D2S_qubit5,9 µs,0.5,0.3204057279236277,0.0,328,0.006097560975609756,0.0
070723_6D2S_qubit5,10 µs,0.5,0.3096658711217184,0.0,0,,
070723_6D2S_qubit5,1 µs,1.0,0.36634844868735084,0.0,14,0.0,0.5832663478156023
070723_6D2S_qubit5,2 µs,1.0,0.6133651551312649,0.0,274,0.06569343065693431,0.25
070723_6D2S_qubit5,3 µs,1.0,0.6992840095465394,0.0,408,0.004901960784313725,0.0
070723_6D2S_qubit5,4 µs,1.0,0.5596658711217184,0.0,427,0.00936768149882904,0.0
070723_6D2S_qubit5,5 µs,1.0,0.4737470167064439,0.0,399,0.010025062656641603,0.0
070723_6D2S_qubit5,6 µs,1.0,0.418854415274463,0.0,372,0.010752688172043012,0.0
070723_6D2S_qubit5,7 µs,1.0,0.39618138424821003,0.0,351,0.011396011396011397,0.0
070723_6D2S_qubit5,8 µs,1.0,0.38007159904534604,0.0,341,0.005865102639296188,0.0
070723_6D2S_qubit5,9 µs,1.0,0.36336515513126494,0.0,328,0.0,0.0
070723_6D2S_qubit5,10 µs,1.0,0.3466587112171838,0.0,0,,
070723_6D2S_qubit5,1 µs,2.0,0.5656324582338902,0.0,14,0.0,0.36166250643844844
070723_6D2S_qubit5,2 µs,2.0,0.889618138424821,0.0,274,0.0036496350364963502,0.0
070723_6D2S_qubit5,3 µs,2.0,0.7553699284009546,0.0,408,0.004901960784313725,0.0
070723_6D2S_qubit5,4 µs,2.0,0.6431980906921241,0.0,427,0.00936768149882904,0.0
070723_6D2S_qubit5,5 µs,2.0,0.5536992840095465,0.0,399,0.007518796992481203,0.0
070723_6D2S_qubit5,6 µs,2.0,0.49522673031026254,0.0,372,0.005376344086021506,0.0
070723_6D2S_qubit5,7 µs,2.0,0.45405727923627687,0.0,351,0.002849002849002849,0.0
070723_6D2S_qubit5,8 µs,2.0,0.42482100238663484,0.0,341,0.0,0.0
070723_6D2S_qubit5,9 µs,2.0,0.4081145584725537,0.0,328,0.0,0.0
070723_6D2S_qubit5,10 µs,2.0,0.3937947494033413,0.0,0,,
070723_6D2S_qubit6,1 µs,0.5,0.2591676967449526,0.0,10,0.0,0.7586759150853786
070723_6D2S_qubit6,2 µs,0.5,0.369180057684384,0.0,253,0.15810276679841898,0.5555555555555556
070723_6D2S_qubit6,3 µs,0.5,0.5401730531520396,0.0,584,0.10273972602739725,0.0
070723_6D2S_qubit6,4 µs,0.5,0.49443757725587145,0.0,587,0.018739352640545145,0.0
070723_6D2S_qubit6,5 µs,0.5,0.40667490729295425,0.0,538,0.01486988847583643,0.0
070723_6D2S_qubit6,6 µs,0.5,0.36093943139678614,0.0,510,0.0196078431372549,0.0
070723_6D2S_qubit6,7 µs,0.5,0.32838895756077463,0.0,485,0.02268041237113402,0.0
070723_6D2S_qubit6,8 µs,0.5,0.31067161104243923,0.0,470,0.019148936170212766,0.0
070723_6D2S_qubit6,9 µs,0.5,0.30284301606922126,0.0,456,0.006578947368421052,0.0
070723_6D2S_qubit6,10 µs,0.5,0.2937783271528636,0.0,0,,
070723_6D2S_qubit6,1 µs,1.0,0.3300370828182942,0.0,10,0.0,0.695266076122733
070723_6D2S_qubit6,2 µs,1.0,0.6349402554594149,0.0,253,0.043478260869565216,0.125
070723_6D2S_qubit6,3 µs,1.0,0.7313555830243098,0.0,584,0.003424657534246575,0.0
070723_6D2S_qubit6,4 µs,1.0,0.5661310259579728,0.0,587,0.013628620102214651,0.0
070723_6D2S_qubit6,5 µs,1.0,0.4647713226205192,0.0,538,0.01486988847583643,0.0
070723_6D2S_qubit6,6 µs,1.0,0.4112072517511331,0.0,510,0.01568627450980392,0.0
070723_6D2S_qubit6,7 µs,1.0,0.37453646477132263,0.0,485,0.010309278350515464,0.0
070723_6D2S_qubit6,8 µs,1.0,0.3526988051091883,0.0,470,0.006382978723404255,0.0
070723_6D2S_qubit6,9 µs,1.0,0.3358055212196127,0.0,456,0.0021929824561403508,0.0
